wosid,title,issn,eissn
13214J,ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X
10110J,ABDOMINAL IMAGING,0942-8925,1432-0509
C7251J,Acta Cardiologica Sinica,1011-6842,
12380J,ACTA PHYSICO-CHIMICA SINICA,1000-6818,
04059J,ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448
09926J,ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519
07035J,ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425
00029S,Advances in Agronomy,0065-2113,
00973J,AGE,0161-9152,1574-4647
03539J,AMERICAN JOURNAL OF DERMATOPATHOLOGY,0193-1091,1533-0311
C8536J,Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry,1302-6631,1302-6631
09523J,ANIMAL BIOTECHNOLOGY,1049-5398,1532-2378
09264J,ANNALS OF ONCOLOGY,0923-7534,1569-8041
14918S,Annual Review of Pathology-Mechanisms of Disease,1553-4006,
05986J,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045
09279J,APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739
03746J,AQUATIC TOXICOLOGY,0166-445X,1879-1514
C6958J,Asia-Pacific Journal of Public Health,1010-5395,1941-2479
05827J,ATOMIC DATA AND NUCLEAR DATA TABLES,0092-640X,1090-2090
D1103J,Biomedical Engineering-Biomedizinische Technik,0013-5585,1862-278X
C6572J,Biotechnology Journal,1860-6768,1860-7314
C9673J,BMC Medical Genomics,1755-8794,
01241J,CANCER CHEMOTHERAPY AND PHARMACOLOGY,0344-5704,1432-0843
04480J,CELLULAR POLYMERS,0262-4893,1478-2421
29125J,CLINICAL RADIOLOGY,0009-9260,1365-229X
13518J,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1492,1526-1506
C6674J,Communications in Computational Physics,1815-2406,1991-7120
29920J,COMPOSITIO MATHEMATICA,0010-437X,1570-5846
C6961J,Current Bioinformatics,1574-8936,2212-392X
C8824J,Diabetes & Vascular Disease Research,1479-1641,1752-8984
