wosid,title,issn,eissn,wikidata
13214J,ACSMS HEALTH & FITNESS JOURNAL,1091-5397,1536-593X,http://www.wikidata.org/entity/Q15750107
10110J,ABDOMINAL IMAGING,0942-8925,1432-0509,http://www.wikidata.org/entity/Q15716670
C7251J,Acta Cardiologica Sinica,1011-6842,,http://www.wikidata.org/entity/Q2366246
12380J,ACTA PHYSICO-CHIMICA SINICA,1000-6818,,http://www.wikidata.org/entity/Q15767318
04059J,ACTA VETERINARIA-BEOGRAD,0567-8315,1820-7448,http://www.wikidata.org/entity/Q15752002
09926J,ADVANCED COMPOSITE MATERIALS,0924-3046,1568-5519,http://www.wikidata.org/entity/Q4686156
07035J,ADVANCED MATERIALS & PROCESSES,0882-7958,2161-9425,
00029S,Advances in Agronomy,0065-2113,,http://www.wikidata.org/entity/Q2496124
00973J,AGE,0161-9152,1574-4647,http://www.wikidata.org/entity/Q4691832
03539J,AMERICAN JOURNAL OF DERMATOPATHOLOGY,0193-1091,1533-0311,http://www.wikidata.org/entity/Q15754884
C8536J,Anadolu Psikiyatri Dergisi-Anatolian Journal of Psychiatry,1302-6631,1302-6631,http://www.wikidata.org/entity/Q15750857
09523J,ANIMAL BIOTECHNOLOGY,1049-5398,1532-2378,http://www.wikidata.org/entity/Q2233008
09264J,ANNALS OF ONCOLOGY,0923-7534,1569-8041,http://www.wikidata.org/entity/Q326122
14918S,Annual Review of Pathology-Mechanisms of Disease,1553-4006,,http://www.wikidata.org/entity/Q15263665
05986J,APPLIED ANIMAL BEHAVIOUR SCIENCE,0168-1591,1872-9045,http://www.wikidata.org/entity/Q2159220
09279J,APPLIED ORGANOMETALLIC CHEMISTRY,0268-2605,1099-0739,http://www.wikidata.org/entity/Q1767653
03746J,AQUATIC TOXICOLOGY,0166-445X,1879-1514,http://www.wikidata.org/entity/Q4782796
C6958J,Asia-Pacific Journal of Public Health,1010-5395,1941-2479,http://www.wikidata.org/entity/Q4806254
05827J,ATOMIC DATA AND NUCLEAR DATA TABLES,0092-640X,1090-2090,http://www.wikidata.org/entity/Q2920192
D1103J,Biomedical Engineering-Biomedizinische Technik,0013-5585,1862-278X,http://www.wikidata.org/entity/Q15749128
C6572J,Biotechnology Journal,1860-6768,1860-7314,http://www.wikidata.org/entity/Q15716480
C9673J,BMC Medical Genomics,1755-8794,,http://www.wikidata.org/entity/Q15754662
01241J,CANCER CHEMOTHERAPY AND PHARMACOLOGY,0344-5704,1432-0843,http://www.wikidata.org/entity/Q326137
04480J,CELLULAR POLYMERS,0262-4893,1478-2421,
29125J,CLINICAL RADIOLOGY,0009-9260,1365-229X,http://www.wikidata.org/entity/Q15754925
13518J,CMES-COMPUTER MODELING IN ENGINEERING & SCIENCES,1526-1492,1526-1506,http://www.wikidata.org/entity/Q15754393
C6674J,Communications in Computational Physics,1815-2406,1991-7120,http://www.wikidata.org/entity/Q1809704
29920J,COMPOSITIO MATHEMATICA,0010-437X,1570-5846,http://www.wikidata.org/entity/Q5156781
C6961J,Current Bioinformatics,1574-8936,2212-392X,http://www.wikidata.org/entity/Q15745417
C8824J,Diabetes & Vascular Disease Research,1479-1641,1752-8984,http://www.wikidata.org/entity/Q5270121
C8084J,Diving and Hyperbaric Medicine,1833-3516,1833-3516,
13391J,DOKLADY PHYSICS,1028-3358,1562-6903,http://www.wikidata.org/entity/Q15716613
C1111J,ECOLOGICAL INDICATORS,1470-160X,1872-7034,http://www.wikidata.org/entity/Q1282041
34056J,ECONOMIC BOTANY,0013-0001,1874-9364,http://www.wikidata.org/entity/Q514162
09773J,ENVIRONMETRICS,1180-4009,1099-095X,http://www.wikidata.org/entity/Q15758560
12473J,EUROPEAN JOURNAL OF OPHTHALMOLOGY,1120-6721,1724-6016,http://www.wikidata.org/entity/Q15755023
07635J,FLUID DYNAMICS RESEARCH,0169-5983,1873-7005,http://www.wikidata.org/entity/Q15746435
D0294J,Food Security,1876-4517,1876-4525,
10629J,FREE RADICAL RESEARCH,1071-5762,1029-2470,http://www.wikidata.org/entity/Q5500025
